karrera,kategoria
omloop-nieuwsblad,5
strade-bianche,4
milano-sanremo,Monumentua
milano-torino,Proseries
ronde-van-brugge-de-panne,5
e3-saxo-classic,5
gent-wevelgem,4
dwars-door-vlaanderen,5
ronde-van-vlaanderen,Monumentua
de-brabantse-pijl,Proseries
paris-roubaix,Monumentua
amstel-gold-race,4
la-fleche-wallonne,4
liege-bastogne-liege,Monumentua
eschborn-frankfurt,5
brussels-cycling-classic,Proseries
copenhagen-sprint,5
donostia-san-sebastian,5
adac-cyclassics,5
bretagne-classic,5
gp-quebec,4
gp-montreal,4
world-championship,Berezia
giro-dell-emilia,Proseries
il-lombardia,Monumentua
paris-tours,Proseries
classic-brugge-de-panne,5
