Lasterketa:,2,Strade Bianche,Mota:,S4
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,1601,POGAČAR Tadej,500,39
2,0318,SEIXAS Paul,400,19
3,1612,DEL TORO Isaac,325,31
4,0505,GRÉGOIRE Romain,275,6
5,1112,VERMEERSCH Gianni,225,8
6,1619,CHRISTEN Jan,175,11
7,2702,PIDCOCK Thomas,150,39
8,1507,JORGENSON Matteo,125,21
9,1708,KRON Andreas,100,0
10,1501,VAN AERT Wout,85,38
11,0323,LABROSSE Jordan,70,0
12,0405,HEALY Ben,60,37
13,0403,VALGREN Michael,50,0
14,0312,LAPEIRA Paul,40,3
15,1213,VANSEVENANT Mauri,35,0
