Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,500
2,0101,VAN DER POEL Mathieu,39,400
3,0318,SEIXAS Paul,19,400
4,2702,PIDCOCK Thomas,39,400
5,1612,DEL TORO Isaac,31,325
6,1122,VAN DIJKE Tim,0,320
7,0505,GRÉGOIRE Romain,6,275
8,1615,VERMEERSCH Florian,5,260
9,1112,VERMEERSCH Gianni,8,225
10,1504,LAPORTE Christophe,24,220
11,1619,CHRISTEN Jan,11,205
12,2711,DE GENDT Aimé,0,180
13,1702,JOHANNESSEN Tobias Halland,0,170
14,0309,ANDRESEN Tobias Lund,1,140
15,1101,ROGLIČ Primož,1,140
16,1507,JORGENSON Matteo,21,125
17,1108,MEEUS Jordi,14,120
18,1118,PELLIZZARI Giulio,0,120
19,0910,UIJTDEBROEKS Cian,0,100
20,1708,KRON Andreas,0,100
21,3201,TURGIS Anthony,0,100
22,1501,VAN AERT Wout,38,85
23,0411,CEPEDA Jefferson Alexander,0,80
24,2213,RENARD Alexis,1,80
25,0323,LABROSSE Jordan,0,70
26,2108,BERWICK Sebastian,0,70
27,0413,LAMPERTI Luke,0,68
28,0405,HEALY Ben,37,60
29,1807,FORTUNATO Lorenzo,0,60
30,1211,MAGNIER Paul,30,56
31,0403,VALGREN Michael,0,50
32,2505,FANCELLU Alessandro,0,50
33,3411,KOPECKÝ Matyáš,0,48
34,0312,LAPEIRA Paul,3,40
35,1115,PITHIE Laurence,2,40
36,3305,STORER Michael,0,40
37,1213,VANSEVENANT Mauri,0,35
38,1610,POLITT Nils,1,32
39,3302,TRENTIN Matteo,2,28
40,3402,POELS Wout,0,20
41,0427,BELOKI Markel,0,10
42,1618,VERMAERKE Kevin,0,10
43,1801,ULISSI Diego,0,10
