Lasterketa:,4,Milano-Sanremo,Mota:,S3
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,1601,POGAČAR Tadej,800,39
2,2702,PIDCOCK Thomas,640,39
3,1501,VAN AERT Wout,520,38
4,0702,PEDERSEN Mads,440,32
5,1007,STRONG Corbin,360,0
6,1306,VENDRAME Andrea,280,0
7,1202,STUYVEN Jasper,240,29
8,0101,VAN DER POEL Mathieu,200,39
9,3302,TRENTIN Matteo,160,2
10,0210,ZAMBANINI Edoardo,135,0
11,0809,BERCKMOES Jenno,110,0
12,2205,ARANBURU Alex,95,2
13,0309,ANDRESEN Tobias Lund,85,1
14,1802,TEUNISSEN Mike,65,2
15,0203,MOHORIČ Matej,55,8
