Lasterketa:,5,Ronde Van Brugge - Tour of Bruges,Mota:,S5
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,3401,GROENEWEGEN Dylan,400,0
2,0102,PHILIPSEN Jasper,320,37
3,1813,KANTER Max,260,0
4,2207,ANIOŁKOWSKI Stanisław,220,0
5,3306,MOZZATO Luca,180,0
6,1407,BITTNER Pavel,140,2
7,0905,GARCÍA CORTINA Iván,120,0
8,1221,REX Laurenz,100,1
9,0413,LAMPERTI Luke,80,0
10,0814,DE SCHUYTENEER Steffen,68,0
11,0508,PENHOËT Paul,56,0
12,0727,TEUTENBERG Tim Torn,48,0
13,0225,ERŽEN Žak,40,0
14,1703,WÆRENSKJOLD Søren,32,4
15,1615,VERMEERSCH Florian,28,5
