Posizioa,Zbkia,Porralaria,Puntuak,,Eboluzioa
,,,Gaur,Guztira,
1,13,La Diva,960,6879,1
2,2,Keops,700,6846,-1
3,20,Giani Bugno,908,6664,1
4,14,Formolinho,700,6451,1
5,39,Alper,700,6431,1
6,8,Sor Presa,600,6416,-3
7,17,McNulty,620,6341,0
8,29,ConGanna 1,600,6271,0
9,1,Piscinas,740,6238,7
10,19,Posta,600,6206,0
11,23,zaja,600,6123,4
12,16,Filotex,500,6121,-3
13,38,Alper II,580,6111,1
14,21,Kas Naranja,740,6110,9
15,28,SinGanna 2,520,6081,-2
16,36,Gaizkasares,480,6071,-5
17,22,Sabin Sagan,600,6060,3
18,26,Presape,740,6055,11
19,7,Segur Waves,480,6046,-7
20,33,Michele Bartoli,536,6034,-3
21,3,Damba,600,6021,1
22,4,Altza Felipa,520,5998,-4
23,10,Baketxe 2,808,5984,10
24,31,Kokotxas taldea,600,5961,0
25,18,Healismo,480,5956,-6
26,24,Jak,600,5931,-1
27,35,Mauricio Frondiest,600,5931,-1
28,37,Lasa,600,5931,-1
29,6,Fernando Alonso,660,5873,2
30,30,SinGanna 1,400,5846,-9
31,25,Leñas Eriz,600,5806,1
32,11,El Divo,600,5766,2
33,27,Plazako adokine,656,5746,2
34,15,Andoni Giocatolli,400,5716,-6
35,32,Penny Lane,480,5706,-5
36,9,Baketxe 1,600,5605,0
37,12,Juan Alberto,600,5560,0
38,34,Van Petegen,480,5286,0
39,5,Altza Felipe,552,4718,0
