Lasterketa:,7,Gent-Wevelgem in Flanders Fields,Mota:,S4
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,0102,PHILIPSEN Jasper,500,37
2,0309,ANDRESEN Tobias Lund,400,1
3,1504,LAPORTE Christophe,325,24
4,0801,DE LIE Arnaud,275,34
5,1323,DONALDSON Robert,225,0
6,3302,TRENTIN Matteo,175,2
7,3306,MOZZATO Luca,150,0
8,2711,DE GENDT Aimé,125,0
9,1710,ABRAHAMSEN Jonas,100,1
10,1202,STUYVEN Jasper,85,29
11,0809,BERCKMOES Jenno,70,0
12,0524,HUENS Axel,60,0
13,3201,TURGIS Anthony,50,0
14,1401,DEGENKOLB John,40,1
15,1806,BALLERINI Davide,35,1
