Lasterketa:,8,Dwars door Vlaanderen - A travers la Flandre,Mota:,S5
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,0603,GANNA Filippo,400,28
2,1501,VAN AERT Wout,320,38
3,1703,WÆRENSKJOLD Søren,260,4
4,1004,GIRMAY Biniam,220,29
5,1115,PITHIE Laurence,180,2
6,0907,AULAR Orluis,140,0
7,1504,LAPORTE Christophe,120,24
8,0102,PHILIPSEN Jasper,100,37
9,0812,BRAET Vito,80,0
10,0702,PEDERSEN Mads,68,32
11,0920,BARRENETXEA Jon,56,0
12,3406,KUBIŠ Lukáš,48,3
13,2215,PAGE Hugo,40,0
14,3314,PLUIMERS Rick,32,0
15,0915,CANAL Carlos,28,0
