Lasterketa:,9,Ronde van Vlaanderen - Tour des Flandres,Mota:,S3
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,1601,POGAČAR Tadej,800,39
2,0101,VAN DER POEL Mathieu,640,39
3,1102,EVENEPOEL Remco,520,39
4,1501,VAN AERT Wout,440,38
5,0702,PEDERSEN Mads,360,32
6,1202,STUYVEN Jasper,280,29
7,1615,VERMEERSCH Florian,240,5
8,0203,MOHORIČ Matej,200,8
9,1504,LAPORTE Christophe,160,24
10,1112,VERMEERSCH Gianni,135,8
11,1122,VAN DIJKE Tim,110,0
12,2711,DE GENDT Aimé,95,0
13,0302,NAESEN Oliver,85,1
14,1115,PITHIE Laurence,65,2
15,0212,SEGAERT Alec,55,0
